project_name,class_name,max_cc
Compress-47f,BlockLZ4CompressorOutputStream,5
Math-2f,OpenMapRealVector,9
JacksonCore-26f,ByteQuadsCanonicalizer,10
Cli-40f,Option,5
Time-13f,Weeks,8
Math-2f,ArrayFieldVector,14
JacksonCore-26f,UTF8StreamJsonParser,28
Gson-16f,Gson,22
Time-13f,ZonedChronology,4
JacksonDatabind-112f,TypeFactory,14
JacksonDatabind-112f,BeanDeserializerFactory,9
Math-2f,MathArrays,13
Csv-16f,CSVParser,11
Time-13f,IslamicChronology,6
Time-13f,Seconds,8
Compress-47f,ZipFile,8
Time-13f,Period,6
JacksonDatabind-112f,JsonValueSerializer,2
Math-2f,DerivativeStructure,6
JacksonDatabind-112f,ClassUtil,15
Math-2f,Frequency,11
JacksonDatabind-112f,JacksonAnnotationIntrospector,30
JacksonCore-26f,JsonGeneratorDelegate,11
Collections-28f,CollectionUtils,10
JacksonCore-26f,FilteringParserDelegate,45
JxPath-22f,BasicTypeConverter,32
JacksonDatabind-112f,BeanPropertyMap,6
Jsoup-93f,HttpConnection,6
Lang-4f,NumberUtils,48
JxPath-22f,CoreFunction,33
Cli-40f,DefaultParser,4
Lang-4f,ExceptionUtils,6
JacksonXml-5f,DefaultXmlPrettyPrinter,3
JxPath-22f,DOMNodePointer,12
JacksonCore-26f,FilteringGeneratorDelegate,7
Codec-18f,DigestUtils,3
JacksonCore-26f,NonBlockingJsonParser,42
Collections-28f,TreeList,5
Csv-16f,CSVFormat,25
JacksonCore-26f,JsonFactory,4
JacksonXml-5f,XmlFactory,25
JacksonCore-26f,WriterBasedJsonGenerator,10
Collections-28f,TreeBidiMap,5
Codec-18f,DaitchMokotoffSoundex,3
Lang-4f,ObjectUtils,11
JacksonXml-5f,XmlTokenStream,6
Codec-18f,Rule,5
JxPath-22f,XPathParser,105
JacksonCore-26f,TextBuffer,8
JxPath-22f,SimplePathInterpreter,3
Cli-40f,HelpFormatter,11
JxPath-22f,VariablePointer,5
JxPath-22f,CollectionPointer,7
JacksonXml-5f,FromXmlParser,29
Jsoup-93f,Tokeniser,18
JxPath-22f,DynamicPropertyPointer,6
Collections-28f,IteratorUtils,32
Collections-28f,MapUtils,11
Collections-28f,IterableUtils,11
Jsoup-93f,QueryParser,6
Gson-16f,JsonTreeReader,23
Codec-18f,HmacUtils,4
Jsoup-93f,Attributes,6
JxPath-22f,JXPathContextReferenceImpl,7
Jsoup-93f,DataUtil,22
Gson-16f,JsonPrimitive,6
Jsoup-93f,CharacterReader,11
JacksonXml-5f,ToXmlGenerator,20
Jsoup-93f,Document,4
Gson-16f,JsonReader,37
Collections-28f,FluentIterable,3
Csv-16f,Lexer,14
Gson-16f,LinkedHashTreeMap,3
Gson-16f,JsonArray,3
Gson-16f,JsonWriter,7
Gson-16f,JavaWriter,9
Gson-16f,ConstructorConstructor,7
Cli-40f,CommandLine,5
JxPath-22f,SimpleCharStream,19
JxPath-22f,BeanPropertyPointer,6
Jsoup-93f,StringUtil,8
Jsoup-93f,XmlTreeBuilder,7
Jsoup-93f,TokenQueue,12
Codec-18f,Base64,11
Codec-18f,Metaphone,67
Codec-18f,URLCodec,8
Codec-18f,QuotedPrintableCodec,11
Codec-18f,ColognePhonetic,22
JacksonDatabind-112f,TreeTraversingParser,9
JacksonDatabind-112f,SequenceWriter,6
Math-2f,StatUtils,4
Math-2f,Complex,7
Collections-28f,SetUtils,4
Collections-28f,CompositeSet,5
Collections-28f,CompositeCollection,5
Collections-28f,ListOrderedMap,2
