project_name,class_name,lines_of_class,num_of_methods,weighted_mth_per_class,fan_out,responses_for_class,class_num,imports_num,non_private_methods
JacksonDatabind-112f,ObjectMapper,1996,210,319,75,535,2,22,185
Collections-28f,SingletonMap,354,38,52,19,69,3,7,24
JacksonCore-26f,UTF8JsonGenerator,1766,74,339,24,204,1,5,42
Lang-4f,FastDateParser,497,32,86,21,106,6,0,8
Math-2f,BigFraction,515,44,68,23,122,1,9,37
JacksonDatabind-112f,AnnotatedCreatorCollector,310,11,66,28,80,1,4,5
Compress-47f,SevenZOutputFile,675,35,109,36,155,2,2,10
Math-2f,SymmLQ,511,22,44,19,82,2,7,9
Lang-4f,ClassUtils,560,39,126,35,126,1,0,35
JxPath-22f,JDOMNodePointer,704,39,147,55,166,1,21,23
Codec-18f,PhoneticEngine,339,18,50,35,89,3,2,2
Lang-4f,StrTokenizer,522,51,89,14,84,1,2,36
Lang-4f,Validate,303,32,45,10,59,1,0,32
Compress-47f,CpioArchiveInputStream,386,18,60,15,73,1,7,6
Math-2f,SimplexTableau,415,30,67,24,96,1,8,13
Math-2f,BSPTree,349,18,55,15,62,1,4,8
Jsoup-93f,HtmlTreeBuilder,701,76,162,51,214,1,11,58
Lang-4f,ExtendedMessageFormat,340,17,64,26,91,1,2,8
Compress-47f,CpioArchiveEntry,377,48,67,5,61,1,1,26
Compress-47f,TarArchiveEntry,741,73,127,18,130,1,3,32
Time-13f,UnsupportedDateTimeField,257,53,56,4,63,1,4,42
Collections-28f,Flat3Map,1031,39,200,23,109,10,5,18
Math-2f,DfpMath,696,20,98,49,158,1,0,20
JacksonDatabind-112f,AnnotatedClass,295,32,43,17,62,2,8,16
Codec-18f,DoubleMetaphone,769,48,185,5,76,2,3,9
Jsoup-93f,Whitelist,418,26,67,49,118,6,5,17
Compress-47f,ZipArchiveOutputStream,1049,60,134,39,255,4,6,26
Compress-47f,SevenZFile,884,29,159,38,131,1,4,7
Time-13f,Days,191,25,45,20,59,1,6,21
Time-13f,LimitChronology,507,50,68,20,138,4,12,11
Collections-28f,ListUtils,306,25,49,23,65,4,10,23
Gson-16f,TypeToken,211,18,41,22,59,1,2,11
Jsoup-93f,Element,913,111,192,57,300,2,14,102
Compress-47f,CpioArchiveOutputStream,384,15,51,17,91,1,6,6
Lang-4f,StrBuilder,1497,154,352,19,210,4,4,134
JacksonDatabind-112f,AnnotatedMethod,234,30,38,9,59,2,2,18
Time-13f,YearMonth,344,44,60,26,109,2,9,31
Time-13f,DateMidnight,466,74,94,35,163,2,5,55
Lang-4f,ToStringBuilder,363,60,64,6,78,1,1,56
Compress-47f,TarArchiveInputStream,450,27,74,13,91,1,7,14
Compress-47f,BlockLZ4CompressorOutputStream,385,33,66,24,107,2,4,6
Math-2f,OpenMapRealVector,588,42,99,12,103,3,8,29
JacksonCore-26f,ByteQuadsCanonicalizer,884,44,152,9,60,2,2,28
Cli-40f,Option,513,58,75,10,81,2,0,28
Time-13f,Weeks,179,25,41,20,59,1,6,21
Math-2f,ArrayFieldVector,610,44,112,18,96,1,12,38
JacksonCore-26f,UTF8StreamJsonParser,3217,106,755,30,322,1,7,59
Gson-16f,Gson,583,34,85,36,118,2,21,28
Time-13f,ZonedChronology,515,60,87,13,146,3,11,11
JacksonDatabind-112f,TypeFactory,922,64,193,49,182,1,5,57
JacksonDatabind-112f,BeanDeserializerFactory,644,22,94,53,202,1,12,21
Math-2f,MathArrays,862,44,141,20,81,1,14,44
Csv-16f,CSVParser,285,21,47,20,61,2,1,10
Time-13f,IslamicChronology,323,31,57,9,59,2,5,17
Time-13f,Seconds,179,25,41,20,58,1,6,21
Compress-47f,ZipFile,805,32,81,31,149,5,4,12
Time-13f,Period,563,61,87,17,115,1,6,52
JacksonDatabind-112f,JsonValueSerializer,366,21,41,18,82,2,15,0
Math-2f,DerivativeStructure,716,73,96,24,162,2,9,63
JacksonDatabind-112f,ClassUtil,858,80,225,56,191,3,6,68
Math-2f,Frequency,317,33,62,25,85,2,4,31
JacksonDatabind-112f,JacksonAnnotationIntrospector,1247,91,258,85,305,1,18,88
JacksonCore-26f,JsonGeneratorDelegate,351,81,195,3,166,1,2,67
Collections-28f,CollectionUtils,821,74,183,55,198,4,9,66
JacksonCore-26f,FilteringParserDelegate,722,55,161,6,119,1,3,23
JxPath-22f,BasicTypeConverter,478,18,128,30,71,3,6,8
JacksonDatabind-112f,BeanPropertyMap,575,32,103,21,76,1,10,21
Jsoup-93f,HttpConnection,1152,74,119,80,324,5,11,37
Lang-4f,NumberUtils,714,47,197,15,104,1,1,45
JxPath-22f,CoreFunction,704,43,196,25,147,1,10,36
Cli-40f,DefaultParser,509,24,77,20,93,1,0,6
Lang-4f,ExceptionUtils,290,24,63,17,63,1,4,21
JacksonXml-5f,DefaultXmlPrettyPrinter,423,28,51,6,56,4,5,21
JxPath-22f,DOMNodePointer,666,41,140,40,152,1,23,26
JacksonCore-26f,FilteringGeneratorDelegate,703,45,169,5,112,1,2,41
Codec-18f,DigestUtils,355,72,78,12,89,1,2,64
JacksonCore-26f,NonBlockingJsonParser,2504,65,604,17,213,1,7,32
Collections-28f,TreeList,694,40,100,29,109,3,1,0
Csv-16f,CSVFormat,895,77,167,66,171,1,1,47
JacksonCore-26f,JsonFactory,703,94,125,23,197,1,10,80
JacksonXml-5f,XmlFactory,580,46,96,21,104,1,10,32
JacksonCore-26f,WriterBasedJsonGenerator,1670,70,314,23,191,1,5,44
